date,area,mu_hat,sigma_hat,mean,variance,skewness,kurtosis,rmse_price,B,K_star,n_calls,n_puts,Kmin_put,Kmax_call,sigma_max,lambda_anchor
2009-10-30,EU,-0.03185182210529085,0.3,1.01323499526516,0.09668357215087847,0.949534907256536,4.644910405392265,0.1739057832321112,0.9876617481746492,1.013248,4,3,0.99,1.05,0.3,2000.0
2009-11-30,EU,-0.034176686000970444,0.3,1.0108820979496211,0.0962350633883713,0.949534907256536,4.644910405392265,0.16579527490024584,0.9874987974300066,1.0109,4,3,0.99,1.05,0.3,2000.0
2009-12-31,EU,-0.03189688581257161,0.3,1.0131893361687185,0.0966748587031561,0.949534907256536,4.644910405392265,0.1473192076267511,0.9869755617370756,1.0132,4,3,0.99,1.05,0.3,2000.0
2010-01-29,EU,-0.032067747521705235,0.3,1.0130162356956074,0.09664182828393485,0.949534907256536,4.644910405392265,0.16153670372255532,0.9880766532328458,1.013025,4,3,0.99,1.05,0.3,2000.0
2010-02-26,EU,-0.0328851883911062,0.3,1.012188493184554,0.09648395940730395,0.949534907256536,4.644910405392265,0.1727040526085512,0.9891611680690704,1.0122,4,3,0.99,1.05,0.3,2000.0
2010-03-31,EU,-0.030215160787426705,0.3,1.0148946755846295,0.09700056720660805,0.949534907256536,4.644910405392265,0.1739528366416749,0.9892086489446696,1.0149,4,3,0.99,1.05,0.3,2000.0
2010-04-30,EU,0.017904168456270107,0.01961297201141935,1.0182612367006747,0.0003989227205730263,0.05885212153250962,3.0061581033951406,0.22871048452249787,0.9887141682506724,1.01825,4,3,0.99,1.05,0.3,2000.0
2010-05-31,EU,-0.029572090550726453,0.3,1.0155475340383053,0.09712540382353978,0.949534907256536,4.644910405392265,0.1659174978768856,0.98891687543194,1.01555,4,3,0.99,1.05,0.3,2000.0
2010-06-30,EU,-0.031500682036477684,0.3,1.0135908451440405,0.09675149495085984,0.949534907256536,4.644910405392265,0.22591965351213542,0.9883484116775584,1.013605,4,3,0.99,1.05,0.3,2000.0
2010-07-30,EU,-0.03200701321309987,0.3,1.0130777624046605,0.09665356794616706,0.949534907256536,4.644910405392265,0.15368200156339418,0.9880025502627494,1.01309,4,3,0.99,1.05,0.3,2000.0
2010-08-31,EU,-0.03260097134269127,0.3,1.0124762152963545,0.09653881977040149,0.949534907256536,4.644910405392265,0.1585550486051849,0.988610358713102,1.01249,4,3,0.99,1.05,0.3,2000.0
2010-09-30,EU,-0.02947986881263454,0.3,1.015641193915681,0.0971433196228221,0.949534907256536,4.644910405392265,0.1439914019347503,0.9872815715902904,1.015638,4,3,0.99,1.05,0.3,2000.0
2010-10-29,EU,0.014905135831521624,0.01961296184942854,1.0152120124755593,0.00039653670656927207,0.05885209102601928,3.0061580970102657,0.18128416604569614,0.986168545842075,1.015213,4,3,0.99,1.05,0.3,2000.0
2010-11-30,EU,-0.008697309442843304,0.22444057352577668,1.0166261778366301,0.0533961218062059,0.693633833160469,3.867494195314153,0.08566746600247041,0.9864821973075928,1.01663,4,3,0.99,1.05,0.3,2000.0
2010-12-31,EU,0.018569475478030135,0.019612964825770712,1.018938918316056,0.00039945359319060436,0.05885209996104902,3.006158098880329,0.17033744087642783,0.9869755617370756,1.01893,4,3,0.99,1.05,0.3,2000.0
2011-01-31,EU,-0.010396116106065015,0.25201111631824485,1.0215884146433036,0.06843137007638972,0.784987707313196,4.115316252138766,0.11515444957232102,0.9842995574066234,1.0216,3,4,0.99,1.05,0.3,2000.0
2011-02-28,EU,0.014782558981515837,0.12956053827663758,1.0234461647034085,0.017730688942523443,0.3925208150159707,3.2751690794255275,0.055960933174891474,0.98340425223502,1.02345,3,4,0.99,1.05,0.3,2000.0
2011-03-31,EU,0.018836551698825636,0.08949447483599764,1.02310403952307,0.008417292057851591,0.2697430172062883,3.1296358262559494,0.03007007317598843,0.9813461769132326,1.023105,3,4,0.99,1.05,0.3,2000.0
2011-04-29,EU,0.01740252283187016,0.11326101947280835,1.0241024312148779,0.013540549291708831,0.3423426456109777,3.2090842856738497,0.04639801514511307,0.9806349587826956,1.0241,3,4,0.99,1.05,0.3,2000.0
2011-05-31,EU,0.004840959467277207,0.1937936179800546,1.0239000788951256,0.04012128106842053,0.5943690675094382,3.6346291187574256,0.07152480235650825,0.9810910600738614,1.0239,3,4,0.99,1.05,0.3,2000.0
2011-06-30,EU,0.018488018651955363,0.019612974766294176,1.0188559223647928,0.00039938892712884514,0.05885212980270271,3.0061581051260546,0.09180426684880705,0.9804633626800056,1.01885,4,3,0.99,1.05,0.3,2000.0
2011-07-29,EU,-0.004678585677045986,0.20611151691584031,1.0167003098156324,0.04485882850594389,0.6340005710557692,3.7230994161680417,0.07492487414311164,0.9815375580767876,1.0167,4,3,0.99,1.05,0.3,2000.0
2011-08-31,EU,0.014557818543656927,0.01961295756387241,1.0148594729325453,0.0003962611808368125,0.05885207816068229,3.0061580943176107,0.10410838911693791,0.9839501930795812,1.01486,4,3,0.99,1.05,0.3,2000.0
2011-09-30,EU,-0.016199399602836357,0.25559303683773754,1.0166007874652394,0.06976890318333212,0.79701471015855,4.150370900362412,0.08438444903880551,0.9841962113788572,1.0166,4,3,0.99,1.05,0.3,2000.0
2011-10-31,EU,0.018138368004251774,0.01961296368515635,1.0184997407834169,0.0003991092803207622,0.05885209653690232,3.00615809816367,0.15187106186110957,0.9841666859353996,1.01849,4,3,0.99,1.05,0.3,2000.0
2011-11-30,EU,-0.02373823884654918,0.3,1.0214894028892543,0.09826527111418668,0.949534907256536,4.644910405392265,0.14283681715086322,0.9851611964314532,1.0215,3,4,0.99,1.05,0.3,2000.0
2011-12-30,EU,0.018839633519787326,0.019612969300771083,1.0192142301355174,0.00039966966519758317,0.05885211339510176,3.006158101692014,0.20010529412639577,0.9859003444746456,1.0192,4,3,0.99,1.05,0.3,2000.0
2012-01-31,EU,0.019197045812138006,0.019612971860328357,1.0195785749878667,0.0003999555654860454,0.058852121078943206,3.0061581033002085,0.22610814837684368,0.9876568098782542,1.01956,4,3,0.99,1.05,0.3,2000.0
