date,area,K0_swap_mean,raw_m2,raw_m3,raw_m4,mean,variance,skewness,kurtosis,tail_frac,winsor_q,Kmin_used_put,Kmax_used_call,n_puts,n_calls
2009-10-30,EU,1.013248,1.0268478032397061,1.0408074505552114,1.055135336519533,1.013248,0.00017629373570637874,-0.5515032316497013,6.618355413994236,0.6,,0.9760512,1.0720512000000002,4,5
2009-11-30,EU,1.0109,1.022062099146648,1.0334918425587785,1.0451950076852496,1.0109,0.00014328914664818448,-0.25388297042724856,6.577870731989349,0.6,,0.97746,1.07346,4,5
2009-12-31,EU,1.0132,1.0267202220542533,1.0405681655883743,1.0547516436075044,1.0132,0.00014598205425309096,-0.3296473017467542,7.569137133690811,0.6,,0.97608,1.07208,4,5
2010-01-29,EU,1.013025,1.026391648733086,1.0401091660175779,1.0541872189052113,1.013025,0.00017199810808588012,0.12824847374952222,7.717260183485979,0.6,,0.976185,1.072185,4,5
2010-02-26,EU,1.0122,1.024727831862717,1.0375922754665057,1.0508025500523999,1.0122,0.00017899186271708167,0.17243466960809115,7.40404843441392,0.6,,0.97668,1.07268,4,5
2010-03-31,EU,1.0149,1.030194082919279,1.0458932437247457,1.0620089724859145,1.0149,0.00017207291927912038,-0.0020563516469855087,7.324755847364222,0.6,,0.97506,1.0710600000000001,4,5
2010-05-31,EU,1.01555,1.0315213414930244,1.0479251356172081,1.0647729826506203,1.01555,0.0001795389930245861,-0.42581889960482655,7.256578103931144,0.6,,0.97467,1.07067,4,5
2010-06-30,EU,1.013605,1.0276440083742218,1.0421277784063538,1.057067601720395,1.013605,0.0002489123492215306,-0.49000927719875426,5.364404789431967,0.6,,0.975837,1.071837,4,5
2010-07-30,EU,1.01309,1.0265004569438596,1.0402384538732246,1.0543113594421365,1.01309,0.00014910884385943568,-0.5576812261206939,7.021940883591058,0.6,,0.976146,1.072146,4,5
2010-08-31,EU,1.01249,1.0252871633775065,1.0383981473002133,1.0518298812304108,1.01249,0.0001511632775066385,-0.5140416573291102,6.748238129958034,0.6,,0.9765060000000001,1.0725060000000002,4,5
2010-09-30,EU,1.015638,1.0316560395300844,1.0480644418520662,1.0648739405530185,1.015638,0.00013549248608435427,0.09037866180888565,7.7785388351339995,0.6,,0.9746172,1.0706172,4,5
2010-10-29,EU,1.015213,1.0307822183893252,1.0467159440394036,1.0630227690420886,1.015213,0.00012478302032525868,-0.6649857547517686,8.528028087810986,0.6,,0.9748722000000001,1.0708722000000002,4,5
2010-11-30,EU,1.01663,1.0336097339772923,1.0509462568571681,1.0686468150457777,1.01663,7.317707729237455e-05,-1.909029802826575,13.644390967308203,0.6,,0.974022,1.070022,4,5
2011-01-31,EU,1.0216,1.0437523324250355,1.066471175759296,1.0897711182689176,1.0216,8.577242503537974e-05,-1.834496918982007,10.589163203402755,0.6,,0.9710399999999999,1.06704,5,4
2011-02-28,EU,1.02345,1.0474867510797345,1.0721252568735478,1.0973809253010662,1.02345,3.684857973462741e-05,-2.16323513647108,18.928471528199633,0.6,,0.96993,1.06593,5,4
2011-04-29,EU,1.0241,1.048810560851057,1.0741479466874932,1.1001288907232607,1.0241,2.9750851056942196e-05,0.7125402166436801,19.111003388993907,0.6,,0.96954,1.0655400000000002,5,4
