date,area,instrument,mu_hat,sigma_hat,mean,variance,skewness,kurtosis
2014-11-28,EU,cap,1.02,0.009837863561119023,1.02,9.678355944719347e-05,0.0,3.0
2014-12-31,EU,cap,1.02,0.008731231148209439,1.02,7.62343973634627e-05,0.0,3.0
2015-01-30,EU,cap,1.02,0.009615029526124674,1.02,9.244879278824927e-05,0.0,3.0
2015-02-27,EU,cap,1.02,0.010117916910180401,1.02,0.00010237224260131451,0.0,3.0
2015-03-31,EU,cap,1.02,0.010286873713293749,1.02,0.00010581977079325393,0.0,3.0
2015-04-30,EU,cap,1.02,0.009422335157655393,1.02,8.878039982318887e-05,0.0,3.0
2015-05-29,EU,cap,1.02,0.010277051228210274,1.02,0.0001056177819472583,0.0,3.0
2015-06-30,EU,cap,1.02,0.009191644487581493,1.02,8.448632838608725e-05,0.0,3.0
2015-07-31,EU,cap,1.02,0.008032896666037773,1.02,6.452742884724077e-05,0.0,3.0
2015-08-31,EU,cap,1.02,0.007479745705039258,1.02,5.594659581205323e-05,0.0,3.0
2015-09-30,EU,cap,1.02,0.008850153298538596,1.02,7.83252134076336e-05,0.0,3.0
2015-10-30,EU,cap,1.02,0.008868725766291156,1.02,7.865429671767666e-05,0.0,3.0
2015-11-30,EU,cap,1.02,0.020579366733960425,1.02,0.000423510335170837,0.0,3.0
2016-01-29,EU,cap,1.02,0.010707779315179291,1.02,0.0001146565378625815,0.0,3.0
2016-02-29,EU,cap,1.02,0.010748938601935109,1.02,0.0001155396810681707,0.0,3.0
2016-03-31,EU,cap,1.02,0.010274319457247019,1.02,0.00010556164030956468,0.0,3.0
2016-04-29,EU,cap,1.02,0.00963449849934833,1.02,9.282356133394523e-05,0.0,3.0
2016-05-31,EU,cap,1.02,0.009113179956868342,1.02,8.305004892626689e-05,0.0,3.0
2016-06-30,EU,cap,1.02,0.009057427487454233,1.02,8.20369926904915e-05,0.0,3.0
2016-08-31,EU,cap,1.02,0.008934746850684088,1.02,7.982970128580922e-05,0.0,3.0
2016-09-30,EU,cap,1.02,0.009002152997135936,1.02,8.10387585838435e-05,0.0,3.0
2016-10-31,EU,cap,1.02,0.00911362277404238,1.02,8.305812006754394e-05,0.0,3.0
2016-11-30,EU,cap,1.02,0.009201505400061616,1.02,8.466770162736308e-05,0.0,3.0
2016-12-30,EU,cap,1.02,0.009142300004876074,1.02,8.358164937915707e-05,0.0,3.0
2017-01-31,EU,cap,1.02,0.009673852760309616,1.02,9.358342722814997e-05,0.0,3.0
2017-02-28,EU,cap,1.02,0.009327792790256239,1.02,8.700771833795626e-05,0.0,3.0
2017-03-31,EU,cap,1.02,0.008959194347548983,1.02,8.026716335715365e-05,0.0,3.0
