date,area,instrument,mean,variance,skewness,kurtosis,B,K_star,Kmin,Kmax,n_strikes
2009-10-30,EU,two_sided,1.015541312960026,0.0002801238787001139,0.3045450431811869,1.958261549161755,0.9876617481746492,1.013248,0.99,1.05,7
2009-11-30,EU,two_sided,1.010988132951244,0.00021879002111608936,0.5501613476592624,2.3601775169935957,0.9874987974300066,1.0109,0.99,1.05,7
2009-12-31,EU,two_sided,1.0138383504055382,0.00026203784309562,0.41263551048968755,2.0973672486037014,0.9869755617370756,1.0132,0.99,1.05,7
2010-01-29,EU,two_sided,1.013132232385054,0.00025283753680764543,0.45382076165816376,2.164209954384144,0.9880766532328458,1.013025,0.99,1.05,7
2010-02-26,EU,two_sided,1.01230559680305,0.00024079992826331456,0.4974682903463806,2.2450046233201495,0.9891611680690704,1.0122,0.99,1.05,7
2010-03-31,EU,two_sided,1.017215731572926,0.000264755788277581,0.1693363948445119,1.9681479521425835,0.9892086489446696,1.0149,0.99,1.05,7
2010-04-30,EU,two_sided,1.01746536537863,0.00029357939615670057,0.17492024826526087,1.8513985113776998,0.9887141682506724,1.01825,0.99,1.05,7
2010-05-31,EU,two_sided,1.0169497921947932,0.0002907000011656038,0.21009226141227821,1.874381095132678,0.98891687543194,1.01555,0.99,1.05,7
2010-07-30,EU,two_sided,1.0143183876816808,0.00026772305028487456,0.38318057442520365,2.054509650270378,0.9880025502627494,1.01309,0.99,1.05,7
2010-08-31,EU,two_sided,1.0134529135118326,0.00025713942733700273,0.4354800865421025,2.1333992644534563,0.988610358713102,1.01249,0.99,1.05,7
2010-09-30,EU,two_sided,1.014119815709983,0.0002654272015359849,0.3954853767527935,2.0719358637283403,0.9872815715902904,1.015638,0.99,1.05,7
2010-10-29,EU,two_sided,1.0160273744595196,0.0002688014343046913,0.25435568368540684,1.9793170904431319,0.986168545842075,1.015213,0.99,1.05,7
2010-11-30,EU,two_sided,1.0168995828980079,0.0001767821551134521,0.0030188995562074883,2.2444612510009767,0.9864821973075928,1.01663,0.99,1.05,7
2010-12-31,EU,two_sided,1.019614015969296,0.00027001992441073733,0.02350442318765078,1.9262492504161086,0.9869755617370756,1.01893,0.99,1.05,7
2011-01-31,EU,two_sided,1.0245355246679373,0.00024472463705158356,-0.25439105098150594,2.0713919108352705,0.9842995574066234,1.0216,0.99,1.05,7
2011-02-28,EU,two_sided,1.0268678450786104,0.0001646962845887165,-0.07728045507474612,2.0883172478909353,0.98340425223502,1.02345,0.99,1.05,7
2011-03-31,EU,two_sided,1.023852237563848,0.00011779087140461022,0.18933241522281496,2.3673231242295656,0.9813461769132326,1.023105,0.99,1.05,7
